,Users,mentioned,frequency
137,@Ge_Avocado,@realDonaldTrump,1
138,@GenumX,@realDonaldTrump,1
139,@GeraltKa,@realDonaldTrump,1
140,@GhoreyshiAram,@realDonaldTrump,1
141,@Ghousertatt,@realDonaldTrump,1
142,@Glayol12,@realDonaldTrump,1
143,@Gregg8826,@realDonaldTrump,1
144,@GueliLois,@realDonaldTrump,1
145,@Hendja,@realDonaldTrump,1
146,@Here4Trump2020,@realDonaldTrump,1
147,@IAmSophiaNelson,@realDonaldTrump,1
148,@IDGafMamaBear,@realDonaldTrump,1
149,@Irishma99484366,@realDonaldTrump,1
150,@JCStew1313,@realDonaldTrump,1
151,@JLJenks07,@realDonaldTrump,1
152,@JPinFuerte,@realDonaldTrump,1
153,@JPotter43,@realDonaldTrump,1
154,@JRubinBlogger,@realDonaldTrump,1
155,@JamieLee74,@realDonaldTrump,1
156,@JarkTom,@realDonaldTrump,1
157,@Jason39830749,@realDonaldTrump,1
158,@JayCoffeyVO,@realDonaldTrump,1
159,@JeanneDEsposito,@realDonaldTrump,1
160,@JeffreyGuterman,@realDonaldTrump,3
161,@JenGranholm,@realDonaldTrump,1
162,@Jenndk61,@realDonaldTrump,1
163,@JerrkyD,@realDonaldTrump,1
164,@JessetheJerk,@realDonaldTrump,1
165,@Jessica34601346,@realDonaldTrump,1
166,@JimDeLong9,@realDonaldTrump,1
167,@JimMFelton,@realDonaldTrump,1
168,@Jkylebass,@realDonaldTrump,1
169,@JoanofAmerica,@realDonaldTrump,1
170,@JohnF33854232,@realDonaldTrump,1
171,@JohnFriend10,@realDonaldTrump,1
172,@JohnT1218,@realDonaldTrump,1
173,@JomoBoxing,@realDonaldTrump,1
174,@Jord_45,@realDonaldTrump,1
175,@Jsaffor525McCoy,@realDonaldTrump,1
176,@JuanBadHambre,@realDonaldTrump,1
177,@Judy00231724,@realDonaldTrump,1
178,@JuliaFromQueens,@realDonaldTrump,1
179,@JulianSvendsen,@realDonaldTrump,2
180,@K99Lorin,@realDonaldTrump,1
181,@KCAddison68,@realDonaldTrump,1
182,@KKL_Justice,@realDonaldTrump,1
183,@KNP2BP,@realDonaldTrump,1
184,@KamalBi80242924,@realDonaldTrump,1
185,@Kathrinemgram,@realDonaldTrump,1
186,@KathyThornhill1,@realDonaldTrump,1
187,@Kauairockchick,@realDonaldTrump,1
188,@KeithLeBlanc63,@realDonaldTrump,1
189,@KelleyGoldie2,@realDonaldTrump,1
190,@Kelleyg0123,@realDonaldTrump,1
191,@KenCook_C,@realDonaldTrump,1
192,@KevinMKruse,@realDonaldTrump,1
193,@Killer2019Sep,@realDonaldTrump,1
194,@KimAms,@realDonaldTrump,1
195,@KimH1313,@realDonaldTrump,1
196,@KimmyDeSimone,@realDonaldTrump,1
197,@KuuipoSays,@realDonaldTrump,1
198,@LAangel_Camilla,@realDonaldTrump,1
199,@LPerez1313,@realDonaldTrump,2
200,@LRBFS7,@realDonaldTrump,1
201,@LTBLNews,@realDonaldTrump,1
202,@LVNancy,@realDonaldTrump,1
203,@LaLaLan99383957,@realDonaldTrump,1
204,@LakeLouise1988,@realDonaldTrump,1
205,@LankyLightfoot,@realDonaldTrump,1
206,@Larshields,@realDonaldTrump,1
207,@LauraWatts61,@realDonaldTrump,1
208,@LawDoctorWise,@realDonaldTrump,1
209,@LeeHolly81,@realDonaldTrump,2
210,@LeeZippon,@realDonaldTrump,1
211,@LeefromNZ,@realDonaldTrump,1
212,@LenoreCassidy,@realDonaldTrump,1
213,@LeratoTumi7,@realDonaldTrump,1
214,@Leslieoo7,@realDonaldTrump,1
215,@Lilsid100,@realDonaldTrump,1
216,@LizNBntown,@realDonaldTrump,1
217,@LizRNC,@realDonaldTrump,2
218,@LoriinUtah,@realDonaldTrump,1
219,@Lou92269706,@realDonaldTrump,1
220,@LouRryNiLam1,@realDonaldTrump,1
