,Users,mentioned,frequency
615,@punmasterflash,@realDonaldTrump,1
616,@purifyfan,@realDonaldTrump,1
617,@raevanz,@realDonaldTrump,1
618,@ram_mcmahon,@realDonaldTrump,1
619,@ranaenelly,@realDonaldTrump,1
620,@raymc64,@realDonaldTrump,1
621,@rc05689,@realDonaldTrump,1
622,@rck899,@realDonaldTrump,1
623,@realJohnSMiller,@realDonaldTrump,1
624,@real_defender,@realDonaldTrump,1
625,@rejenrat,@realDonaldTrump,1
626,@rhus00,@realDonaldTrump,1
627,@robstewartcamp,@realDonaldTrump,1
628,@rogerears,@realDonaldTrump,1
629,@ronneuen,@realDonaldTrump,1
630,@roqisland1,@realDonaldTrump,1
631,@rvdesh,@realDonaldTrump,1
632,@s8nismyfather,@realDonaldTrump,1
633,@saltandlightTX,@realDonaldTrump,1
634,@saltedv8,@realDonaldTrump,1
635,@scooterdawg,@realDonaldTrump,1
636,@seekthetruth07,@realDonaldTrump,1
637,@sft_asu,@realDonaldTrump,1
638,@shawniedw2,@realDonaldTrump,1
639,@silly_Lyle,@realDonaldTrump,1
640,@simscity02,@realDonaldTrump,1
641,@sister77420089,@realDonaldTrump,1
642,@sjorolan,@realDonaldTrump,1
643,@snuckoutofjack,@realDonaldTrump,1
644,@socialmissfit3,@realDonaldTrump,1
645,@steph93065,@realDonaldTrump,1
646,@steve_vladeck,@realDonaldTrump,1
647,@steveavonloor,@realDonaldTrump,1
648,@sulkyracer,@realDonaldTrump,1
649,@sunshineydays2,@realDonaldTrump,1
650,@surf_lex,@realDonaldTrump,1
651,@susanccollins,@realDonaldTrump,1
652,@teddy_ballou,@realDonaldTrump,1
653,@tedlieu,@realDonaldTrump,4
654,@theOptiMysticKA,@realDonaldTrump,1
655,@the_timestreams,@realDonaldTrump,1
656,@thejtlewis,@realDonaldTrump,2
657,@theraddadchad,@realDonaldTrump,1
658,@thisisfenway,@realDonaldTrump,1
659,@thisismash,@realDonaldTrump,1
660,@thisjackya,@realDonaldTrump,1
661,@thortallmon,@realDonaldTrump,1
662,@timaverill,@realDonaldTrump,1
663,@tomjc1943,@realDonaldTrump,1
664,@tommanatine46,@realDonaldTrump,1
665,@troygbradley,@realDonaldTrump,1
666,@trumpwarrior45,@realDonaldTrump,1
667,@tuluene,@realDonaldTrump,1
668,@undhockeyfan,@realDonaldTrump,1
669,@ursawarrior17,@realDonaldTrump,1
670,@vega_fam510,@realDonaldTrump,1
671,@vlacknar,@realDonaldTrump,1
672,@vmania,@realDonaldTrump,1
673,@w_terrence,@realDonaldTrump,2
674,@weiluwang868,@realDonaldTrump,1
675,@williamlegate,@realDonaldTrump,1
676,@worrall1966,@realDonaldTrump,1
677,@wpnofassdstrctn,@realDonaldTrump,1
678,@xmZDGp7NBLgmaQU,@realDonaldTrump,1
679,@yaming60787226,@realDonaldTrump,1
680,@ycheung212,@realDonaldTrump,1
681,@yhwhuniversity,@realDonaldTrump,1
682,@ymanisimmons,@realDonaldTrump,1
683,@yoalexrapz,@realDonaldTrump,1
684,@zhangqingqun,@realDonaldTrump,1
685,@zhu_66,@realDonaldTrump,1
